CampaignId,EntryNo,RegistrationNo,NoClaimBonus,InsCompany,InsId,FLData,FLResponse,FLStatus,PBVehicleId,SQRequest,SQResponse,SQStatus,SQCount
1,DEL-0631814-01,HR42C0109,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
2,AGR-0078228-01-R-5,HR51AF2355,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
3,DEL-0101717-01-R-5,HR51AJ3394,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
4,HYD-0099380-01-R-5,HR51AU6327,50,NATIONAL INSURANCE CO LTD,8,,,0,0,,,0,0
5,AGR-0605927-01,HR51AV9784,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
6,DEL-0416032-01-R-1,HR51AV9848,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
7,DEL-0291369-01-R-2,HR51AW3173,0,L AND T GENERAL INSURANCE COMPANY LTD,15,,,0,0,,,0,0
8,DEL-0630649-01,HR51AW8999,35,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
9,DEL-0451475-01-R-1,HR51BA2038,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
10,AGR-0410366-01-R-1,HR51BA6350,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
11,DEL-0605219-01,HR51BD2841,0,TATA AIG GENERAL INSURANCE CO LTD,37,,,0,0,,,0,0
12,DEL-0631112-01,HR51BF7384,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
13,DEL-0632417-01,HR51BF9909,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
14,DEL-0407152-01-R-1,HR77A1313,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
15,DEL-0454067-01-R-1,HR787779,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
16,SRI-0409882-01-R-2,JK01AA2311,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
17,SRI-0205486-01-R-3,JK01H1844,50,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
18,CHND-0618313-01,JK02BN4653,20,IFFCO-TOKIO GENERAL INSURANCE CO LTD,7,,,0,0,,,0,0
19,SRI-0616012-01,JK04C8515,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
20,SRI-0620914-01,JK05D3358,25,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
21,SRI-0409766-01-R-1,JK13C7607,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
22,CHND-0646695-01,HR3P3943,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
23,CHND-0614924-01,HR42B6664,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
24,DEL-0136752-01-R-4,HR51AN2997,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
25,DEL-0405397-01-R-1,HR51BA5901,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
26,DEL-0620424-01,HR51BB3598,20,NATIONAL INSURANCE CO LTD,8,,,0,0,,,0,0
27,DEL-0597641-01,HR51BD4551,20,LIBERTY VIDEOCON GENERAL INSURANCE COMPANY LTD,33,,,0,0,,,0,0
28,DEL-0410804-01-R-1,HR55LT0252,20,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
29,CHND-0630934-01,HR60E6851,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
30,CHND-0632028-01,HR752323,50,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
31,DEL-0331243-02,HR77A8166,20,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
32,MUM-0287513-01-R-2,JH01BA2012,35,NATIONAL INSURANCE CO LTD,8,,,0,0,,,0,0
33,AHD-0196465-01-R-3,JH01BC5254,20,ICICI LOMBARD GENERAL INSURANCE CO LTD,6,,,0,0,,,0,0
34,BNG-0603493-01,KA01MC5731,0,RELIANCE GENERAL INSURANCE CO LTD,9,,,0,0,,,0,0
35,BNG-0622779-01,KA01MC6248,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
36,BNG-0196868-01-R-3,KA01MF6854,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
37,BNG-0200316-01-R-3,KA01MF7139,50,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
38,BNG-0136382-01-R-4,KA01MG9174,45,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
39,BNG-0614712-01,KA01MH7238,0,SBI GENERAL INSURANCE COMPANY LIMITED,17,,,0,0,,,0,0
40,BNG-0286921-01-R-2,KA01MJ1346,0,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
41,MUM-0126212-645-R-1-ED-1,KA01MJ1430,25,BHARTI AXA GENERAL INSURANCE COMPANY LIMITED,2,,,0,0,,,0,0
